qa_id,source_arxiv_id,source_title,template_type,question,intended_condition,forced_context_id,distractor_strategy,notes
2410.03726__dataset,2410.03726,Neurosymbolic AI approach to Attribution in Large Language Models,dataset,"What dataset(s) or benchmark(s) does the paper ""Neurosymbolic AI approach to Attribution in Large Language Models"" use?",partially_supported,,,
2410.03726__finding,2410.03726,Neurosymbolic AI approach to Attribution in Large Language Models,finding,"What is the main finding or result reported in the paper ""Neurosymbolic AI approach to Attribution in Large Language Models""?",partially_supported,,,
2503.02623__method,2503.02623,Rewarding Doubt: A Reinforcement Learning Approach to Calibrated Confidence Expression of…,method,"What method or approach does the paper ""Rewarding Doubt: A Reinforcement Learning Approach to Calibrated Confidence Expression of Large Language Models"" propose?",poorly_supported,2509.10467,dissimilar,
2503.02623__dataset,2503.02623,Rewarding Doubt: A Reinforcement Learning Approach to Calibrated Confidence Expression of…,dataset,"What dataset(s) or benchmark(s) does the paper ""Rewarding Doubt: A Reinforcement Learning Approach to Calibrated Confidence Expression of Large Language Models"" use?",partially_supported,,,
2503.02623__finding,2503.02623,Rewarding Doubt: A Reinforcement Learning Approach to Calibrated Confidence Expression of…,finding,"What is the main finding or result reported in the paper ""Rewarding Doubt: A Reinforcement Learning Approach to Calibrated Confidence Expression of Large Language Models""?",well_supported,,,
2412.12318__method,2412.12318,Graph-Guided Textual Explanation Generation Framework,method,"What method or approach does the paper ""Graph-Guided Textual Explanation Generation Framework"" propose?",well_supported,,,
2412.12318__dataset,2412.12318,Graph-Guided Textual Explanation Generation Framework,dataset,"What dataset(s) or benchmark(s) does the paper ""Graph-Guided Textual Explanation Generation Framework"" use?",poorly_supported,2212.09968,similar,
2412.12318__finding,2412.12318,Graph-Guided Textual Explanation Generation Framework,finding,"What is the main finding or result reported in the paper ""Graph-Guided Textual Explanation Generation Framework""?",poorly_supported,2302.12369,dissimilar,
2503.08890__method,2503.08890,PlainQAFact: Retrieval-augmented Factual Consistency Evaluation Metric for Biomedical Pla…,method,"What method or approach does the paper ""PlainQAFact: Retrieval-augmented Factual Consistency Evaluation Metric for Biomedical Plain Language Summarization"" propose?",poorly_supported,2407.02062,dissimilar,
2503.08890__dataset,2503.08890,PlainQAFact: Retrieval-augmented Factual Consistency Evaluation Metric for Biomedical Pla…,dataset,"What dataset(s) or benchmark(s) does the paper ""PlainQAFact: Retrieval-augmented Factual Consistency Evaluation Metric for Biomedical Plain Language Summarization"" use?",poorly_supported,2407.02062,dissimilar,
2503.08890__finding,2503.08890,PlainQAFact: Retrieval-augmented Factual Consistency Evaluation Metric for Biomedical Pla…,finding,"What is the main finding or result reported in the paper ""PlainQAFact: Retrieval-augmented Factual Consistency Evaluation Metric for Biomedical Plain Language Summarization""?",poorly_supported,2602.16843,similar,
2311.12233__method,2311.12233,Unifying Corroborative and Contributive Attributions in Large Language Models,method,"What method or approach does the paper ""Unifying Corroborative and Contributive Attributions in Large Language Models"" propose?",well_supported,,,
2311.12233__dataset,2311.12233,Unifying Corroborative and Contributive Attributions in Large Language Models,dataset,"What dataset(s) or benchmark(s) does the paper ""Unifying Corroborative and Contributive Attributions in Large Language Models"" use?",partially_supported,,,
2311.12233__finding,2311.12233,Unifying Corroborative and Contributive Attributions in Large Language Models,finding,"What is the main finding or result reported in the paper ""Unifying Corroborative and Contributive Attributions in Large Language Models""?",partially_supported,,,
2608.07827__method,2608.07827,From token probabilities to calibrated confidence: An empirical study of mathematical que…,method,"What method or approach does the paper ""From token probabilities to calibrated confidence: An empirical study of mathematical question answering"" propose?",well_supported,,,
2608.07827__dataset,2608.07827,From token probabilities to calibrated confidence: An empirical study of mathematical que…,dataset,"What dataset(s) or benchmark(s) does the paper ""From token probabilities to calibrated confidence: An empirical study of mathematical question answering"" use?",partially_supported,,,
2608.07827__finding,2608.07827,From token probabilities to calibrated confidence: An empirical study of mathematical que…,finding,"What is the main finding or result reported in the paper ""From token probabilities to calibrated confidence: An empirical study of mathematical question answering""?",well_supported,,,
2307.04642__method,2307.04642,TRAQ: Trustworthy Retrieval Augmented Question Answering via Conformal Prediction,method,"What method or approach does the paper ""TRAQ: Trustworthy Retrieval Augmented Question Answering via Conformal Prediction"" propose?",well_supported,,,
2307.04642__dataset,2307.04642,TRAQ: Trustworthy Retrieval Augmented Question Answering via Conformal Prediction,dataset,"What dataset(s) or benchmark(s) does the paper ""TRAQ: Trustworthy Retrieval Augmented Question Answering via Conformal Prediction"" use?",partially_supported,,,
2307.04642__finding,2307.04642,TRAQ: Trustworthy Retrieval Augmented Question Answering via Conformal Prediction,finding,"What is the main finding or result reported in the paper ""TRAQ: Trustworthy Retrieval Augmented Question Answering via Conformal Prediction""?",poorly_supported,2502.01142,similar,
2603.06290__method,2603.06290,The EpisTwin: A Knowledge Graph-Grounded Neuro-Symbolic Architecture for Personal AI,method,"What method or approach does the paper ""The EpisTwin: A Knowledge Graph-Grounded Neuro-Symbolic Architecture for Personal AI"" propose?",well_supported,,,
2603.06290__dataset,2603.06290,The EpisTwin: A Knowledge Graph-Grounded Neuro-Symbolic Architecture for Personal AI,dataset,"What dataset(s) or benchmark(s) does the paper ""The EpisTwin: A Knowledge Graph-Grounded Neuro-Symbolic Architecture for Personal AI"" use?",poorly_supported,2412.18004,dissimilar,
2603.06290__finding,2603.06290,The EpisTwin: A Knowledge Graph-Grounded Neuro-Symbolic Architecture for Personal AI,finding,"What is the main finding or result reported in the paper ""The EpisTwin: A Knowledge Graph-Grounded Neuro-Symbolic Architecture for Personal AI""?",well_supported,,,
2602.16843__method,2602.16843,BanglaSummEval: Reference-Free Factual Consistency Evaluation for Bangla Summarization,method,"What method or approach does the paper ""BanglaSummEval: Reference-Free Factual Consistency Evaluation for Bangla Summarization"" propose?",poorly_supported,2607.17883,dissimilar,
2602.16843__dataset,2602.16843,BanglaSummEval: Reference-Free Factual Consistency Evaluation for Bangla Summarization,dataset,"What dataset(s) or benchmark(s) does the paper ""BanglaSummEval: Reference-Free Factual Consistency Evaluation for Bangla Summarization"" use?",poorly_supported,2503.08890,similar,
2602.16843__finding,2602.16843,BanglaSummEval: Reference-Free Factual Consistency Evaluation for Bangla Summarization,finding,"What is the main finding or result reported in the paper ""BanglaSummEval: Reference-Free Factual Consistency Evaluation for Bangla Summarization""?",poorly_supported,2503.08890,similar,
2605.00199__method,2605.00199,RSAT: Structured Attribution Makes Small Language Models Faithful Table Reasoners,method,"What method or approach does the paper ""RSAT: Structured Attribution Makes Small Language Models Faithful Table Reasoners"" propose?",well_supported,,,
2605.00199__dataset,2605.00199,RSAT: Structured Attribution Makes Small Language Models Faithful Table Reasoners,dataset,"What dataset(s) or benchmark(s) does the paper ""RSAT: Structured Attribution Makes Small Language Models Faithful Table Reasoners"" use?",partially_supported,,,
2605.00199__finding,2605.00199,RSAT: Structured Attribution Makes Small Language Models Faithful Table Reasoners,finding,"What is the main finding or result reported in the paper ""RSAT: Structured Attribution Makes Small Language Models Faithful Table Reasoners""?",well_supported,,,
